noun_w_ekor	noun_w_ekor_only	cossim
serangga	rubah	0.21
serangga	merpati	0.34
serangga	lembu	0.23
serangga	kelelawar	0.51
serangga	keledai	0.16
serangga	belalang	0.54
serangga	angsa	0.3
serangga	gabus	0.32
serangga	ngengat	0.59
serangga	kalkun	0.26
hantu	pejuang	0.24
hantu	bibit	0.18
hantu	tikus	0.41
hantu	singa	0.27
hantu	domba	0.15
hantu	benih	0.21
hantu	buaya	0.34
hantu	cacing	0.24
hantu	paus	0.26
hantu	nyamuk	0.34
hantu	iblis	0.41
hantu	lebah	0.29
hantu	mamalia	0.21
hantu	semut	0.36
hantu	pemburu	0.41
hantu	monyet	0.36
hantu	jago	0.21
hantu	serigala	0.31
hantu	katak	0.29
hantu	unta	0.19
hantu	kera	0.32
hantu	ulat	0.33
hantu	macan	0.28
hantu	rubah	0.32
hantu	merpati	0.32
hantu	lembu	0.17
hantu	kelelawar	0.39
hantu	keledai	0.21
hantu	belalang	0.25
hantu	angsa	0.27
hantu	gabus	0.17
hantu	ngengat	0.32
hantu	kalkun	0.26
pejuang	bibit	0.24
pejuang	tikus	0.23
pejuang	singa	0.14
pejuang	domba	0.21
pejuang	benih	0.26
pejuang	buaya	0.19
pejuang	cacing	0.2
pejuang	paus	0.21
pejuang	nyamuk	0.24
pejuang	iblis	0.26
pejuang	lebah	0.23
pejuang	mamalia	0.21
pejuang	semut	0.27
pejuang	pemburu	0.41
pejuang	monyet	0.25
pejuang	jago	0.27
pejuang	serigala	0.27
pejuang	katak	0.21
pejuang	unta	0.22
pejuang	kera	0.28
pejuang	ulat	0.26
pejuang	macan	0.19
pejuang	rubah	0.14
pejuang	merpati	0.2
pejuang	lembu	0.21
pejuang	kelelawar	0.2
pejuang	keledai	0.15
pejuang	belalang	0.13
pejuang	angsa	0.19
pejuang	gabus	0.14
pejuang	ngengat	0.22
pejuang	kalkun	0.09
bibit	tikus	0.3
bibit	singa	0.22
bibit	domba	0.36
bibit	benih	0.77
bibit	buaya	0.29
bibit	cacing	0.37
bibit	paus	0.21
bibit	nyamuk	0.3
bibit	iblis	0.22
bibit	lebah	0.32
bibit	mamalia	0.16
bibit	semut	0.31
bibit	pemburu	0.29
bibit	monyet	0.27
bibit	jago	0.23
bibit	serigala	0.25
bibit	katak	0.29
bibit	unta	0.19
bibit	kera	0.26
bibit	ulat	0.38
bibit	macan	0.3
bibit	rubah	0.15
bibit	merpati	0.31
bibit	lembu	0.23
bibit	kelelawar	0.2
bibit	keledai	0.2
bibit	belalang	0.25
bibit	angsa	0.25
bibit	gabus	0.34
bibit	ngengat	0.23
bibit	kalkun	0.31
tikus	singa	0.38
tikus	domba	0.36
tikus	benih	0.31
tikus	buaya	0.38
tikus	cacing	0.43
tikus	paus	0.3
tikus	nyamuk	0.43
tikus	iblis	0.33
tikus	lebah	0.39
tikus	mamalia	0.43
tikus	semut	0.48
tikus	pemburu	0.38
tikus	monyet	0.47
tikus	jago	0.25
tikus	serigala	0.4
tikus	katak	0.37
tikus	unta	0.33
tikus	kera	0.43
tikus	ulat	0.46
tikus	macan	0.39
tikus	rubah	0.35
tikus	merpati	0.41
tikus	lembu	0.31
tikus	kelelawar	0.42
tikus	keledai	0.36
tikus	belalang	0.38
tikus	angsa	0.34
tikus	gabus	0.31
tikus	ngengat	0.34
tikus	kalkun	0.33
singa	domba	0.35
singa	benih	0.14
singa	buaya	0.4
singa	cacing	0.23
singa	paus	0.31
singa	nyamuk	0.25
singa	iblis	0.34
singa	lebah	0.29
singa	mamalia	0.29
singa	semut	0.33
singa	pemburu	0.41
singa	monyet	0.4
singa	jago	0.29
singa	serigala	0.43
singa	katak	0.36
singa	unta	0.39
singa	kera	0.39
singa	ulat	0.25
singa	macan	0.5
singa	rubah	0.34
singa	merpati	0.29
singa	lembu	0.42
singa	kelelawar	0.27
singa	keledai	0.35
singa	belalang	0.27
singa	angsa	0.27
singa	gabus	0.16
singa	ngengat	0.2
singa	kalkun	0.19
domba	benih	0.28
domba	buaya	0.32
domba	cacing	0.29
domba	paus	0.31
domba	nyamuk	0.26
domba	iblis	0.32
domba	lebah	0.35
domba	mamalia	0.3
domba	semut	0.24
domba	pemburu	0.29
domba	monyet	0.33
domba	jago	0.29
domba	serigala	0.47
domba	katak	0.25
domba	unta	0.48
domba	kera	0.27
domba	ulat	0.27
domba	macan	0.34
domba	rubah	0.27
domba	merpati	0.38
domba	lembu	0.52
domba	kelelawar	0.24
domba	keledai	0.41
domba	belalang	0.23
domba	angsa	0.4
domba	gabus	0.29
domba	ngengat	0.15
domba	kalkun	0.45
benih	buaya	0.28
benih	cacing	0.33
benih	paus	0.26
benih	nyamuk	0.23
benih	iblis	0.27
benih	lebah	0.23
benih	mamalia	0.17
benih	semut	0.26
benih	pemburu	0.24
benih	monyet	0.22
benih	jago	0.15
benih	serigala	0.22
benih	katak	0.26
benih	unta	0.17
benih	kera	0.23
benih	ulat	0.35
benih	macan	0.18
benih	rubah	0.13
benih	merpati	0.28
benih	lembu	0.24
benih	kelelawar	0.2
benih	keledai	0.23
benih	belalang	0.25
benih	angsa	0.25
benih	gabus	0.32
benih	ngengat	0.23
benih	kalkun	0.3
buaya	cacing	0.39
buaya	paus	0.31
buaya	nyamuk	0.36
buaya	iblis	0.31
buaya	lebah	0.32
buaya	mamalia	0.34
buaya	semut	0.36
buaya	pemburu	0.32
buaya	monyet	0.43
buaya	jago	0.24
buaya	serigala	0.36
buaya	katak	0.41
buaya	unta	0.3
buaya	kera	0.4
buaya	ulat	0.27
buaya	macan	0.46
buaya	rubah	0.28
buaya	merpati	0.31
buaya	lembu	0.34
buaya	kelelawar	0.32
buaya	keledai	0.34
buaya	belalang	0.28
buaya	angsa	0.33
buaya	gabus	0.37
buaya	ngengat	0.31
buaya	kalkun	0.26
cacing	paus	0.23
cacing	nyamuk	0.38
cacing	iblis	0.27
cacing	lebah	0.25
cacing	mamalia	0.31
cacing	semut	0.4
cacing	pemburu	0.22
cacing	monyet	0.3
cacing	jago	0.23
cacing	serigala	0.26
cacing	katak	0.32
cacing	unta	0.28
cacing	kera	0.25
cacing	ulat	0.52
cacing	macan	0.25
cacing	rubah	0.19
cacing	merpati	0.25
cacing	lembu	0.34
cacing	kelelawar	0.34
cacing	keledai	0.33
cacing	belalang	0.37
cacing	angsa	0.23
cacing	gabus	0.32
cacing	ngengat	0.36
cacing	kalkun	0.27
paus	nyamuk	0.26
paus	iblis	0.27
paus	lebah	0.26
paus	mamalia	0.5
paus	semut	0.23
paus	pemburu	0.37
paus	monyet	0.32
paus	jago	0.1
paus	serigala	0.32
paus	katak	0.31
paus	unta	0.31
paus	kera	0.31
paus	ulat	0.17
paus	macan	0.25
paus	rubah	0.23
paus	merpati	0.29
paus	lembu	0.29
paus	kelelawar	0.26
paus	keledai	0.25
paus	belalang	0.21
paus	angsa	0.33
paus	gabus	0.3
paus	ngengat	0.2
paus	kalkun	0.26
nyamuk	iblis	0.25
nyamuk	lebah	0.45
nyamuk	mamalia	0.3
nyamuk	semut	0.46
nyamuk	pemburu	0.28
nyamuk	monyet	0.31
nyamuk	jago	0.18
nyamuk	serigala	0.36
nyamuk	katak	0.34
nyamuk	unta	0.31
nyamuk	kera	0.32
nyamuk	ulat	0.43
nyamuk	macan	0.29
nyamuk	rubah	0.2
nyamuk	merpati	0.26
nyamuk	lembu	0.24
nyamuk	kelelawar	0.4
nyamuk	keledai	0.19
nyamuk	belalang	0.44
nyamuk	angsa	0.3
nyamuk	gabus	0.28
nyamuk	ngengat	0.51
nyamuk	kalkun	0.23
iblis	lebah	0.2
iblis	mamalia	0.19
iblis	semut	0.27
iblis	pemburu	0.33
iblis	monyet	0.36
iblis	jago	0.27
iblis	serigala	0.46
iblis	katak	0.27
iblis	unta	0.25
iblis	kera	0.31
iblis	ulat	0.24
iblis	macan	0.31
iblis	rubah	0.32
iblis	merpati	0.26
iblis	lembu	0.31
iblis	kelelawar	0.36
iblis	keledai	0.3
iblis	belalang	0.24
iblis	angsa	0.18
iblis	gabus	0.18
iblis	ngengat	0.3
iblis	kalkun	0.2
lebah	mamalia	0.33
lebah	semut	0.61
lebah	pemburu	0.35
lebah	monyet	0.29
lebah	jago	0.17
lebah	serigala	0.36
lebah	katak	0.27
lebah	unta	0.39
lebah	kera	0.29
lebah	ulat	0.43
lebah	macan	0.28
lebah	rubah	0.2
lebah	merpati	0.34
lebah	lembu	0.22
lebah	kelelawar	0.36
lebah	keledai	0.22
lebah	belalang	0.4
lebah	angsa	0.37
lebah	gabus	0.28
lebah	ngengat	0.45
lebah	kalkun	0.25
mamalia	semut	0.32
mamalia	pemburu	0.33
mamalia	monyet	0.4
mamalia	jago	0.13
mamalia	serigala	0.33
mamalia	katak	0.37
mamalia	unta	0.39
mamalia	kera	0.44
mamalia	ulat	0.25
mamalia	macan	0.26
mamalia	rubah	0.23
mamalia	merpati	0.32
mamalia	lembu	0.28
mamalia	kelelawar	0.43
mamalia	keledai	0.26
mamalia	belalang	0.22
mamalia	angsa	0.28
mamalia	gabus	0.21
mamalia	ngengat	0.23
mamalia	kalkun	0.23
semut	pemburu	0.3
semut	monyet	0.36
semut	jago	0.2
semut	serigala	0.35
semut	katak	0.32
semut	unta	0.35
semut	kera	0.37
semut	ulat	0.5
semut	macan	0.33
semut	rubah	0.24
semut	merpati	0.31
semut	lembu	0.19
semut	kelelawar	0.41
semut	keledai	0.19
semut	belalang	0.46
semut	angsa	0.25
semut	gabus	0.22
semut	ngengat	0.44
semut	kalkun	0.27
pemburu	monyet	0.33
pemburu	jago	0.28
pemburu	serigala	0.43
pemburu	katak	0.33
pemburu	unta	0.32
pemburu	kera	0.33
pemburu	ulat	0.31
pemburu	macan	0.34
pemburu	rubah	0.3
pemburu	merpati	0.34
pemburu	lembu	0.25
pemburu	kelelawar	0.39
pemburu	keledai	0.2
pemburu	belalang	0.32
pemburu	angsa	0.27
pemburu	gabus	0.19
pemburu	ngengat	0.26
pemburu	kalkun	0.27
monyet	jago	0.22
monyet	serigala	0.41
monyet	katak	0.41
monyet	unta	0.36
monyet	kera	0.68
monyet	ulat	0.3
monyet	macan	0.37
monyet	rubah	0.32
monyet	merpati	0.38
monyet	lembu	0.27
monyet	kelelawar	0.43
monyet	keledai	0.34
monyet	belalang	0.23
monyet	angsa	0.31
monyet	gabus	0.17
monyet	ngengat	0.24
monyet	kalkun	0.23
jago	serigala	0.25
jago	katak	0.22
jago	unta	0.19
jago	kera	0.21
jago	ulat	0.17
jago	macan	0.28
jago	rubah	0.24
jago	merpati	0.3
jago	lembu	0.28
jago	kelelawar	0.2
jago	keledai	0.21
jago	belalang	0.24
jago	angsa	0.23
jago	gabus	0.17
jago	ngengat	0.18
jago	kalkun	0.22
serigala	katak	0.32
serigala	unta	0.38
serigala	kera	0.46
serigala	ulat	0.31
serigala	macan	0.44
serigala	rubah	0.42
serigala	merpati	0.28
serigala	lembu	0.35
serigala	kelelawar	0.39
serigala	keledai	0.37
serigala	belalang	0.34
serigala	angsa	0.38
serigala	gabus	0.21
serigala	ngengat	0.25
serigala	kalkun	0.32
katak	unta	0.29
katak	kera	0.4
katak	ulat	0.34
katak	macan	0.41
katak	rubah	0.26
katak	merpati	0.29
katak	lembu	0.43
katak	kelelawar	0.39
katak	keledai	0.3
katak	belalang	0.42
katak	angsa	0.33
katak	gabus	0.34
katak	ngengat	0.29
katak	kalkun	0.24
unta	kera	0.31
unta	ulat	0.33
unta	macan	0.26
unta	rubah	0.23
unta	merpati	0.38
unta	lembu	0.47
unta	kelelawar	0.32
unta	keledai	0.57
unta	belalang	0.3
unta	angsa	0.37
unta	gabus	0.11
unta	ngengat	0.21
unta	kalkun	0.33
kera	ulat	0.26
kera	macan	0.39
kera	rubah	0.34
kera	merpati	0.29
kera	lembu	0.31
kera	kelelawar	0.4
kera	keledai	0.34
kera	belalang	0.23
kera	angsa	0.31
kera	gabus	0.2
kera	ngengat	0.19
kera	kalkun	0.24
ulat	macan	0.37
ulat	rubah	0.25
ulat	merpati	0.28
ulat	lembu	0.28
ulat	kelelawar	0.36
ulat	keledai	0.24
ulat	belalang	0.49
ulat	angsa	0.35
ulat	gabus	0.27
ulat	ngengat	0.48
ulat	kalkun	0.31
macan	rubah	0.41
macan	merpati	0.26
macan	lembu	0.35
macan	kelelawar	0.27
macan	keledai	0.23
macan	belalang	0.37
macan	angsa	0.32
macan	gabus	0.28
macan	ngengat	0.25
macan	kalkun	0.22
rubah	merpati	0.28
rubah	lembu	0.19
rubah	kelelawar	0.32
rubah	keledai	0.28
rubah	belalang	0.19
rubah	angsa	0.31
rubah	gabus	0.15
rubah	ngengat	0.17
rubah	kalkun	0.3
merpati	lembu	0.27
merpati	kelelawar	0.33
merpati	keledai	0.3
merpati	belalang	0.3
merpati	angsa	0.45
merpati	gabus	0.25
merpati	ngengat	0.24
merpati	kalkun	0.32
lembu	kelelawar	0.21
lembu	keledai	0.48
lembu	belalang	0.34
lembu	angsa	0.3
lembu	gabus	0.24
lembu	ngengat	0.16
lembu	kalkun	0.31
kelelawar	keledai	0.27
kelelawar	belalang	0.34
kelelawar	angsa	0.3
kelelawar	gabus	0.16
kelelawar	ngengat	0.37
kelelawar	kalkun	0.31
keledai	belalang	0.21
keledai	angsa	0.33
keledai	gabus	0.21
keledai	ngengat	0.14
keledai	kalkun	0.24
belalang	angsa	0.27
belalang	gabus	0.24
belalang	ngengat	0.47
belalang	kalkun	0.24
angsa	gabus	0.3
angsa	ngengat	0.27
angsa	kalkun	0.42
gabus	ngengat	0.2
gabus	kalkun	0.26
ngengat	kalkun	0.22
