noun_w_orang_affixed1	noun_w_orang_affixed2	cossim
penyedia	penyembah	0.23
penyedia	penilai	0.39
penyedia	penguji	0.29
penyedia	pustakawan	0.29
penyedia	pengunjuk	0.16
penyedia	tamatan	0.23
penyedia	penyembuh	0.25
penyedia	musikus	0.24
penyedia	rohaniwan	0.19
penyedia	pemanah	0.24
penyedia	penyelidik	0.31
penyedia	penampil	0.29
penyedia	peranakan	0.18
penyedia	suruhan	0.17
penyedia	pemudik	0.23
penyedia	titisan	0.14
penyedia	usahawan	0.3
penyedia	pelapor	0.28
penyedia	pemahat	0.16
penyedia	penunggu	0.24
penyedia	penurut	0.17
penyedia	pengusul	0.27
penyedia	pemimpi	0.15
penyedia	penyusup	0.26
penyedia	pemungut	0.35
penyedia	penceramah	0.25
penyedia	penggarap	0.36
penyedia	pengelana	0.21
penyedia	pelupa	0.16
penyedia	perupa	0.14
penyedia	penyendiri	0.17
penyedia	pezina	0.07
penyedia	pemateri	0.26
penyedia	bujangan	0.13
penyedia	penggali	0.3
penyedia	petapa	0.18
penyedia	penukar	0.36
penyedia	penyabar	0.08
penyedia	asongan	0.15
penyedia	pelempar	0.26
penyedia	pemerkosa	0.23
penyedia	pemborong	0.44
penyedia	pendemo	0.17
penyedia	pencerita	0.24
penyedia	penyelundup	0.24
penyedia	penganggur	0.21
penyedia	penggiling	0.3
penyedia	penterjemah	0.35
penyedia	pengulas	0.27
penyedia	penagih	0.26
penyedia	penyintas	0.2
penyedia	pesepeda	0.23
penyedia	hartawan	0.15
penyedia	perumus	0.36
penyedia	pengayom	0.28
penyedia	peniup	0.23
penyedia	penggalang	0.29
penyedia	pembenci	0.2
penyedia	pengkaji	0.25
penyedia	pembebas	0.19
penyedia	pesakitan	0.2
penyedia	pemetik	0.24
penyedia	penjilat	0.21
penyedia	pencabut	0.35
penyedia	pemintal	0.21
penyedia	peramah	0.14
penyedia	pengukir	0.26
penyedia	pengejar	0.31
penyedia	wiraswastawan	0.26
penyedia	pemijat	0.32
penyedia	pemulia	0.25
penyedia	pembatik	0.15
penyedia	penendang	0.22
penyedia	penyimak	0.28
penyedia	pelestari	0.33
penyedia	penjemput	0.32
penyedia	pembaru	0.32
penyedia	pelahap	0.23
penyedia	pesinden	0.09
penyedia	penghayat	0.25
penyedia	pengadu	0.32
penyedia	pemasak	0.33
penyedia	pembobol	0.36
penyedia	penggemblengan	0.22
penyedia	penghasut	0.23
penyedia	penderma	0.2
penyedia	pemaksa	0.26
penyedia	peragu	0.16
penyedia	pengekor	0.29
penyedia	perayu	0.18
penyedia	pendebat	0.17
penyedia	pengintip	0.24
penyedia	ilusionis	0.21
penyedia	penyuara	0.22
penyedia	penghadang	0.25
penyedia	pengasah	0.27
penyedia	penatar	0.3
penyedia	pengutang	0.28
penyedia	pembisik	0.22
penyedia	pengetuk	0.24
penyedia	pemberang	0.19
penyedia	pembesuk	0.23
penyedia	peneguh	0.26
penyedia	padagang	0.39
penyedia	pewirausaha	0.34
penyedia	pencuriga	0.26
penyedia	pengalah	0.33
penyedia	pengalasan	0.36
penyedia	pezikir	0.21
penyedia	pengamuk	0.28
penyedia	pemengaruh	0.31
penjaga	pencari	0.35
penjaga	pembawa	0.4
penjaga	cadangan	0.29
penjaga	pemeran	0.3
penjaga	bangsawan	0.28
penjaga	pembantu	0.47
penjaga	pengarang	0.24
penjaga	pengelola	0.51
penjaga	pejuang	0.36
penjaga	tahanan	0.42
penjaga	pengikut	0.28
penjaga	rombongan	0.31
penjaga	politikus	0.27
penjaga	tersangka	0.22
penjaga	pengajar	0.36
penjaga	pendidik	0.31
penjaga	penghuni	0.46
penjaga	sejarawan	0.26
penjaga	jajaran	0.37
penjaga	penari	0.33
penjaga	pemberi	0.38
penjaga	pelayan	0.51
penjaga	penyair	0.29
penjaga	pendatang	0.23
penjaga	pembunuh	0.36
penjaga	penyelenggara	0.32
penjaga	turunan	0.15
penjaga	pelukis	0.22
penjaga	utusan	0.34
penjaga	pembiayaan	0.16
penjaga	pengacara	0.29
penjaga	perawat	0.41
penjaga	penganut	0.27
penjaga	pengamat	0.34
penjaga	vokalis	0.21
penjaga	jurnalis	0.29
penjaga	penghubung	0.36
penjaga	pesaing	0.18
penjaga	pengawas	0.53
penjaga	penjahat	0.37
penjaga	pelaksana	0.38
penjaga	pembicara	0.24
penjaga	pendengar	0.26
penjaga	pendamping	0.37
penjaga	pewaris	0.26
penjaga	pengungsi	0.27
penjaga	pengendara	0.3
penjaga	pencuri	0.46
penjaga	terdakwa	0.19
penjaga	pebisnis	0.23
penjaga	pemburu	0.42
penjaga	pengawal	0.6
penjaga	penemu	0.27
penjaga	sastrawan	0.25
penjaga	pengemudi	0.31
penjaga	penerjemah	0.32
penjaga	pemandu	0.44
penjaga	tawanan	0.34
penjaga	penegak	0.4
penjaga	penutur	0.12
penjaga	penyihir	0.32
penjaga	pelamar	0.19
penjaga	pemasok	0.3
penjaga	pemikir	0.27
penjaga	saingan	0.21
penjaga	pembimbing	0.31
penjaga	petinggi	0.32
penjaga	pelaut	0.32
penjaga	pengrajin	0.28
penjaga	langganan	0.3
penjaga	pencinta	0.31
penjaga	kenalan	0.2
penjaga	penyidik	0.28
penjaga	pelacur	0.29
penjaga	pengirim	0.28
penjaga	perusak	0.38
penjaga	pendiam	0.28
penjaga	pemeluk	0.25
penjaga	penikmat	0.26
penjaga	pemangku	0.25
penjaga	perampok	0.39
penjaga	pengidap	0.14
penjaga	pesepak	0.24
penjaga	penunjuk	0.38
penjaga	pemuka	0.32
penjaga	pengemis	0.28
penjaga	pemusik	0.29
penjaga	sukarelawan	0.37
penjaga	penerbang	0.28
penjaga	pejalan	0.28
penjaga	petinju	0.25
penjaga	penyandang	0.21
penjaga	penanggung	0.37
penjaga	penolong	0.4
penjaga	jagoan	0.24
penjaga	penembak	0.34
penjaga	penipu	0.28
penjaga	novelis	0.2
penjaga	penyelamat	0.49
penjaga	pendaftar	0.16
penjaga	pelari	0.31
penjaga	pengiring	0.26
penjaga	penata	0.32
penjaga	pengambil	0.3
penjaga	penuntut	0.27
penjaga	pembina	0.41
penjaga	tanggungan	0.2
penjaga	petualang	0.26
penjaga	pencetus	0.23
penjaga	pemangsa	0.31
penjaga	penyebar	0.29
penjaga	pelancong	0.3
penjaga	petarung	0.3
penjaga	pemesan	0.21
penjaga	dermawan	0.25
penjaga	pemeriksa	0.38
penjaga	negarawan	0.23
penjaga	pengukur	0.33
penjaga	penambang	0.3
penjaga	biarawati	0.31
penjaga	pembajak	0.26
penjaga	budayawan	0.25
penjaga	perekam	0.24
penjaga	penyayang	0.3
penjaga	pemukul	0.34
penjaga	perencana	0.28
penjaga	pengumpul	0.35
penjaga	wirausahawan	0.21
penjaga	penangkap	0.38
penjaga	penyelam	0.32
penjaga	pemasar	0.22
penjaga	pemalas	0.2
penjaga	pengecut	0.28
penjaga	penarik	0.36
penjaga	pengembara	0.27
penjaga	gerilyawan	0.26
penjaga	penggagas	0.24
penjaga	penyembah	0.26
penjaga	penilai	0.28
penjaga	penguji	0.31
penjaga	pustakawan	0.37
penjaga	pengunjuk	0.28
penjaga	tamatan	0.16
penjaga	penyembuh	0.29
penjaga	musikus	0.18
penjaga	rohaniwan	0.24
penjaga	pemanah	0.3
penjaga	penyelidik	0.33
penjaga	penampil	0.32
penjaga	peranakan	0.2
penjaga	suruhan	0.25
penjaga	pemudik	0.14
penjaga	titisan	0.22
penjaga	usahawan	0.28
penjaga	pelapor	0.28
penjaga	pemahat	0.17
penjaga	penunggu	0.53
penjaga	penurut	0.32
penjaga	pengusul	0.15
penjaga	pemimpi	0.24
penjaga	penyusup	0.46
penjaga	pemungut	0.39
penjaga	penceramah	0.22
penjaga	penggarap	0.29
penjaga	pengelana	0.3
penjaga	pelupa	0.14
penjaga	perupa	0.13
penjaga	penyendiri	0.3
penjaga	pezina	0.18
penjaga	pemateri	0.23
penjaga	bujangan	0.22
penjaga	penggali	0.32
penjaga	petapa	0.27
penjaga	penukar	0.33
penjaga	penyabar	0.23
penjaga	asongan	0.31
penjaga	pelempar	0.37
penjaga	pemerkosa	0.26
penjaga	pemborong	0.23
penjaga	pendemo	0.28
penjaga	pencerita	0.3
penjaga	penyelundup	0.32
penjaga	penganggur	0.24
penjaga	penggiling	0.31
penjaga	penterjemah	0.27
penjaga	pengulas	0.19
penjaga	penagih	0.35
penjaga	penyintas	0.22
penjaga	pesepeda	0.21
penjaga	hartawan	0.25
penjaga	perumus	0.27
penjaga	pengayom	0.41
penjaga	peniup	0.33
penjaga	penggalang	0.29
penjaga	pembenci	0.27
penjaga	pengkaji	0.28
penjaga	pembebas	0.34
penjaga	pesakitan	0.26
penjaga	pemetik	0.29
penjaga	penjilat	0.28
penjaga	pencabut	0.36
penjaga	pemintal	0.24
penjaga	peramah	0.26
penjaga	pengukir	0.28
penjaga	pengejar	0.37
penjaga	wiraswastawan	0.22
penjaga	pemijat	0.28
penjaga	pemulia	0.24
penjaga	pembatik	0.21
penjaga	penendang	0.34
penjaga	penyimak	0.19
penjaga	pelestari	0.42
penjaga	penjemput	0.36
penjaga	pembaru	0.26
penjaga	pelahap	0.27
penjaga	pesinden	0.19
penjaga	penghayat	0.25
penjaga	pengadu	0.24
penjaga	pemasak	0.27
penjaga	pembobol	0.39
penjaga	penggemblengan	0.26
penjaga	penghasut	0.25
penjaga	penderma	0.26
penjaga	pemaksa	0.28
penjaga	peragu	0.18
penjaga	pengekor	0.21
penjaga	perayu	0.26
penjaga	pendebat	0.22
penjaga	pengintip	0.37
penjaga	ilusionis	0.21
penjaga	penyuara	0.25
penjaga	penghadang	0.44
penjaga	pengasah	0.31
penjaga	penatar	0.27
penjaga	pengutang	0.22
penjaga	pembisik	0.34
penjaga	pengetuk	0.44
penjaga	pemberang	0.36
penjaga	pembesuk	0.36
penjaga	peneguh	0.36
penjaga	padagang	0.34
penjaga	pewirausaha	0.2
penjaga	pencuriga	0.35
penjaga	pengalah	0.39
penjaga	pengalasan	0.4
penjaga	pezikir	0.27
penjaga	pengamuk	0.35
penjaga	pemengaruh	0.29
pencari	pembawa	0.33
pencari	cadangan	0.18
pencari	pemeran	0.29
pencari	bangsawan	0.19
pencari	pembantu	0.3
pencari	pengarang	0.3
pencari	pengelola	0.38
pencari	pejuang	0.34
pencari	tahanan	0.15
pencari	pengikut	0.22
pencari	rombongan	0.22
pencari	politikus	0.3
pencari	tersangka	0.18
pencari	pengajar	0.35
pencari	pendidik	0.4
pencari	penghuni	0.32
pencari	sejarawan	0.22
pencari	jajaran	0.26
pencari	penari	0.25
pencari	pemberi	0.49
pencari	pelayan	0.27
pencari	penyair	0.22
pencari	pendatang	0.36
pencari	pembunuh	0.33
pencari	penyelenggara	0.31
pencari	turunan	0.24
pencari	pelukis	0.2
pencari	utusan	0.25
pencari	pembiayaan	0.25
pencari	pengacara	0.28
pencari	perawat	0.26
pencari	penganut	0.23
pencari	pengamat	0.28
pencari	vokalis	0.17
pencari	jurnalis	0.33
pencari	penghubung	0.29
pencari	pesaing	0.34
pencari	pengawas	0.27
pencari	penjahat	0.34
pencari	pelaksana	0.26
pencari	pembicara	0.22
pencari	pendengar	0.28
pencari	pendamping	0.29
pencari	pewaris	0.23
pencari	pengungsi	0.27
pencari	pengendara	0.28
pencari	pencuri	0.32
pencari	terdakwa	0.11
pencari	pebisnis	0.36
pencari	pemburu	0.46
pencari	pengawal	0.22
pencari	penemu	0.34
pencari	sastrawan	0.27
pencari	pengemudi	0.24
pencari	penerjemah	0.38
pencari	pemandu	0.38
pencari	tawanan	0.19
pencari	penegak	0.31
pencari	penutur	0.2
pencari	penyihir	0.25
pencari	pelamar	0.39
pencari	pemasok	0.35
pencari	pemikir	0.31
pencari	saingan	0.3
pencari	pembimbing	0.29
pencari	petinggi	0.25
pencari	pelaut	0.32
pencari	pengrajin	0.28
pencari	langganan	0.26
pencari	pencinta	0.32
pencari	kenalan	0.23
pencari	penyidik	0.26
pencari	pelacur	0.25
pencari	pengirim	0.33
pencari	perusak	0.32
pencari	pendiam	0.14
pencari	pemeluk	0.19
pencari	penikmat	0.35
pencari	pemangku	0.24
pencari	perampok	0.22
pencari	pengidap	0.12
pencari	pesepak	0.25
pencari	penunjuk	0.31
pencari	pemuka	0.28
pencari	pengemis	0.31
pencari	pemusik	0.27
pencari	sukarelawan	0.34
pencari	penerbang	0.32
pencari	pejalan	0.27
pencari	petinju	0.14
pencari	penyandang	0.3
pencari	penanggung	0.19
pencari	penolong	0.31
pencari	jagoan	0.25
pencari	penembak	0.27
pencari	penipu	0.36
pencari	novelis	0.23
pencari	penyelamat	0.37
pencari	pendaftar	0.34
pencari	pelari	0.23
pencari	pengiring	0.2
pencari	penata	0.24
pencari	pengambil	0.35
pencari	penuntut	0.33
pencari	pembina	0.22
pencari	tanggungan	0.15
pencari	petualang	0.32
pencari	pencetus	0.22
pencari	pemangsa	0.3
pencari	penyebar	0.34
pencari	pelancong	0.29
pencari	petarung	0.23
pencari	pemesan	0.27
pencari	dermawan	0.22
pencari	pemeriksa	0.28
pencari	negarawan	0.18
pencari	pengukur	0.27
pencari	penambang	0.32
pencari	biarawati	0.18
pencari	pembajak	0.36
pencari	budayawan	0.22
pencari	perekam	0.3
pencari	penyayang	0.19
pencari	pemukul	0.17
pencari	perencana	0.27
pencari	pengumpul	0.37
pencari	wirausahawan	0.27
pencari	penangkap	0.35
pencari	penyelam	0.33
pencari	pemasar	0.39
pencari	pemalas	0.27
pencari	pengecut	0.17
pencari	penarik	0.36
pencari	pengembara	0.34
pencari	gerilyawan	0.19
pencari	penggagas	0.21
pencari	penyembah	0.26
pencari	penilai	0.3
pencari	penguji	0.29
pencari	pustakawan	0.34
pencari	pengunjuk	0.21
pencari	tamatan	0.31
pencari	penyembuh	0.26
pencari	musikus	0.23
pencari	rohaniwan	0.21
pencari	pemanah	0.28
pencari	penyelidik	0.35
pencari	penampil	0.28
pencari	peranakan	0.17
pencari	suruhan	0.2
pencari	pemudik	0.28
pencari	titisan	0.17
pencari	usahawan	0.31
pencari	pelapor	0.26
pencari	pemahat	0.22
pencari	penunggu	0.26
pencari	penurut	0.19
pencari	pengusul	0.22
pencari	pemimpi	0.21
pencari	penyusup	0.28
pencari	pemungut	0.29
pencari	penceramah	0.24
pencari	penggarap	0.27
pencari	pengelana	0.33
pencari	pelupa	0.18
pencari	perupa	0.17
pencari	penyendiri	0.23
pencari	pezina	0.13
pencari	pemateri	0.19
pencari	bujangan	0.14
pencari	penggali	0.39
pencari	petapa	0.27
pencari	penukar	0.35
pencari	penyabar	0.16
pencari	asongan	0.24
pencari	pelempar	0.23
pencari	pemerkosa	0.2
pencari	pemborong	0.24
pencari	pendemo	0.18
pencari	pencerita	0.23
pencari	penyelundup	0.23
pencari	penganggur	0.35
pencari	penggiling	0.33
pencari	penterjemah	0.32
pencari	pengulas	0.24
pencari	penagih	0.24
pencari	penyintas	0.25
pencari	pesepeda	0.23
pencari	hartawan	0.26
pencari	perumus	0.29
pencari	pengayom	0.19
pencari	peniup	0.29
pencari	penggalang	0.22
pencari	pembenci	0.32
pencari	pengkaji	0.32
pencari	pembebas	0.19
pencari	pesakitan	0.23
pencari	pemetik	0.28
pencari	penjilat	0.29
pencari	pencabut	0.38
pencari	pemintal	0.32
pencari	peramah	0.18
pencari	pengukir	0.27
pencari	pengejar	0.45
pencari	wiraswastawan	0.28
pencari	pemijat	0.31
pencari	pemulia	0.25
pencari	pembatik	0.23
pencari	penendang	0.19
pencari	penyimak	0.29
pencari	pelestari	0.28
pencari	penjemput	0.35
pencari	pembaru	0.27
pencari	pelahap	0.25
pencari	pesinden	0.15
pencari	penghayat	0.28
pencari	pengadu	0.31
pencari	pemasak	0.31
pencari	pembobol	0.3
pencari	penggemblengan	0.21
pencari	penghasut	0.24
pencari	penderma	0.23
pencari	pemaksa	0.25
pencari	peragu	0.15
pencari	pengekor	0.27
pencari	perayu	0.29
pencari	pendebat	0.23
pencari	pengintip	0.31
pencari	ilusionis	0.25
pencari	penyuara	0.27
pencari	penghadang	0.3
pencari	pengasah	0.33
pencari	penatar	0.22
pencari	pengutang	0.24
pencari	pembisik	0.3
pencari	pengetuk	0.35
pencari	pemberang	0.27
pencari	pembesuk	0.24
pencari	peneguh	0.26
pencari	padagang	0.37
pencari	pewirausaha	0.34
pencari	pencuriga	0.28
pencari	pengalah	0.34
pencari	pengalasan	0.31
pencari	pezikir	0.3
pencari	pengamuk	0.33
pencari	pemengaruh	0.27
pembawa	cadangan	0.3
pembawa	pemeran	0.37
pembawa	bangsawan	0.23
pembawa	pembantu	0.37
pembawa	pengarang	0.31
pembawa	pengelola	0.33
pembawa	pejuang	0.3
pembawa	tahanan	0.29
pembawa	pengikut	0.26
pembawa	rombongan	0.31
pembawa	politikus	0.31
pembawa	tersangka	0.21
pembawa	pengajar	0.32
pembawa	pendidik	0.29
pembawa	penghuni	0.28
pembawa	sejarawan	0.21
pembawa	jajaran	0.23
pembawa	penari	0.37
pembawa	pemberi	0.47
pembawa	pelayan	0.37
pembawa	penyair	0.27
pembawa	pendatang	0.27
pembawa	pembunuh	0.33
pembawa	penyelenggara	0.35
pembawa	turunan	0.33
pembawa	pelukis	0.26
pembawa	utusan	0.4
pembawa	pembiayaan	0.21
pembawa	pengacara	0.27
pembawa	perawat	0.23
pembawa	penganut	0.3
pembawa	pengamat	0.29
pembawa	vokalis	0.3
pembawa	jurnalis	0.37
pembawa	penghubung	0.29
pembawa	pesaing	0.17
pembawa	pengawas	0.26
pembawa	penjahat	0.29
pembawa	pelaksana	0.35
pembawa	pembicara	0.41
pembawa	pendengar	0.36
pembawa	pendamping	0.38
pembawa	pewaris	0.33
pembawa	pengungsi	0.26
pembawa	pengendara	0.28
pembawa	pencuri	0.36
pembawa	terdakwa	0.23
pembawa	pebisnis	0.24
pembawa	pemburu	0.35
pembawa	pengawal	0.4
pembawa	penemu	0.37
pembawa	sastrawan	0.24
pembawa	pengemudi	0.28
pembawa	penerjemah	0.25
pembawa	pemandu	0.48
pembawa	tawanan	0.33
pembawa	penegak	0.28
pembawa	penutur	0.16
pembawa	penyihir	0.25
pembawa	pelamar	0.17
pembawa	pemasok	0.31
pembawa	pemikir	0.28
pembawa	saingan	0.22
pembawa	pembimbing	0.28
pembawa	petinggi	0.21
pembawa	pelaut	0.28
pembawa	pengrajin	0.22
pembawa	langganan	0.28
pembawa	pencinta	0.24
pembawa	kenalan	0.23
pembawa	penyidik	0.24
pembawa	pelacur	0.21
pembawa	pengirim	0.4
pembawa	perusak	0.41
pembawa	pendiam	0.17
pembawa	pemeluk	0.27
pembawa	penikmat	0.32
pembawa	pemangku	0.23
pembawa	perampok	0.3
pembawa	pengidap	0.19
pembawa	pesepak	0.21
pembawa	penunjuk	0.38
pembawa	pemuka	0.33
pembawa	pengemis	0.27
pembawa	pemusik	0.33
pembawa	sukarelawan	0.24
pembawa	penerbang	0.27
pembawa	pejalan	0.21
pembawa	petinju	0.29
pembawa	penyandang	0.3
pembawa	penanggung	0.36
pembawa	penolong	0.33
pembawa	jagoan	0.22
pembawa	penembak	0.32
pembawa	penipu	0.27
pembawa	novelis	0.22
pembawa	penyelamat	0.35
pembawa	pendaftar	0.13
pembawa	pelari	0.31
pembawa	pengiring	0.41
pembawa	penata	0.3
pembawa	pengambil	0.37
pembawa	penuntut	0.27
pembawa	pembina	0.32
pembawa	tanggungan	0.22
pembawa	petualang	0.29
pembawa	pencetus	0.35
pembawa	pemangsa	0.26
pembawa	penyebar	0.51
pembawa	pelancong	0.23
pembawa	petarung	0.24
pembawa	pemesan	0.25
pembawa	dermawan	0.21
pembawa	pemeriksa	0.26
pembawa	negarawan	0.21
pembawa	pengukur	0.29
pembawa	penambang	0.16
pembawa	biarawati	0.17
pembawa	pembajak	0.23
pembawa	budayawan	0.23
pembawa	perekam	0.3
pembawa	penyayang	0.23
pembawa	pemukul	0.28
pembawa	perencana	0.3
pembawa	pengumpul	0.38
pembawa	wirausahawan	0.27
pembawa	penangkap	0.41
pembawa	penyelam	0.25
pembawa	pemasar	0.28
pembawa	pemalas	0.17
pembawa	pengecut	0.21
pembawa	penarik	0.4
pembawa	pengembara	0.25
pembawa	gerilyawan	0.25
pembawa	penggagas	0.34
pembawa	penyembah	0.22
pembawa	penilai	0.22
pembawa	penguji	0.28
pembawa	pustakawan	0.14
pembawa	pengunjuk	0.16
pembawa	tamatan	0.19
pembawa	penyembuh	0.41
pembawa	musikus	0.23
pembawa	rohaniwan	0.24
pembawa	pemanah	0.26
pembawa	penyelidik	0.24
pembawa	penampil	0.41
pembawa	peranakan	0.25
pembawa	suruhan	0.18
pembawa	pemudik	0.25
pembawa	titisan	0.26
pembawa	usahawan	0.19
pembawa	pelapor	0.3
pembawa	pemahat	0.24
pembawa	penunggu	0.24
pembawa	penurut	0.21
pembawa	pengusul	0.15
pembawa	pemimpi	0.23
pembawa	penyusup	0.27
pembawa	pemungut	0.24
pembawa	penceramah	0.38
pembawa	penggarap	0.25
pembawa	pengelana	0.25
pembawa	pelupa	0.21
pembawa	perupa	0.21
pembawa	penyendiri	0.17
pembawa	pezina	0.2
pembawa	pemateri	0.38
pembawa	bujangan	0.23
pembawa	penggali	0.33
pembawa	petapa	0.17
pembawa	penukar	0.34
pembawa	penyabar	0.21
pembawa	asongan	0.14
pembawa	pelempar	0.38
pembawa	pemerkosa	0.26
pembawa	pemborong	0.22
pembawa	pendemo	0.24
pembawa	pencerita	0.31
pembawa	penyelundup	0.28
pembawa	penganggur	0.23
pembawa	penggiling	0.18
pembawa	penterjemah	0.19
pembawa	pengulas	0.21
pembawa	penagih	0.24
pembawa	penyintas	0.23
pembawa	pesepeda	0.23
pembawa	hartawan	0.24
pembawa	perumus	0.33
pembawa	pengayom	0.28
pembawa	peniup	0.35
pembawa	penggalang	0.29
pembawa	pembenci	0.33
pembawa	pengkaji	0.25
pembawa	pembebas	0.37
pembawa	pesakitan	0.25
pembawa	pemetik	0.28
pembawa	penjilat	0.2
pembawa	pencabut	0.29
pembawa	pemintal	0.21
pembawa	peramah	0.2
pembawa	pengukir	0.26
pembawa	pengejar	0.34
pembawa	wiraswastawan	0.22
pembawa	pemijat	0.22
pembawa	pemulia	0.3
pembawa	pembatik	0.2
pembawa	penendang	0.26
pembawa	penyimak	0.34
pembawa	pelestari	0.31
pembawa	penjemput	0.39
pembawa	pembaru	0.35
pembawa	pelahap	0.22
pembawa	pesinden	0.22
pembawa	penghayat	0.25
pembawa	pengadu	0.32
pembawa	pemasak	0.32
pembawa	pembobol	0.27
pembawa	penggemblengan	0.21
pembawa	penghasut	0.32
pembawa	penderma	0.24
pembawa	pemaksa	0.26
pembawa	peragu	0.2
pembawa	pengekor	0.3
pembawa	perayu	0.24
pembawa	pendebat	0.29
pembawa	pengintip	0.24
pembawa	ilusionis	0.24
pembawa	penyuara	0.32
pembawa	penghadang	0.34
pembawa	pengasah	0.26
pembawa	penatar	0.33
pembawa	pengutang	0.23
pembawa	pembisik	0.33
pembawa	pengetuk	0.35
pembawa	pemberang	0.35
pembawa	pembesuk	0.29
pembawa	peneguh	0.38
pembawa	padagang	0.34
pembawa	pewirausaha	0.24
pembawa	pencuriga	0.28
pembawa	pengalah	0.37
pembawa	pengalasan	0.32
pembawa	pezikir	0.28
pembawa	pengamuk	0.3
pembawa	pemengaruh	0.33
cadangan	pemeran	0.28
cadangan	bangsawan	0.11
cadangan	pembantu	0.3
cadangan	pengarang	0.14
cadangan	pengelola	0.27
cadangan	pejuang	0.24
cadangan	tahanan	0.23
cadangan	pengikut	0.19
cadangan	rombongan	0.19
cadangan	politikus	0.17
cadangan	tersangka	0.14
cadangan	pengajar	0.26
cadangan	pendidik	0.22
cadangan	penghuni	0.19
cadangan	sejarawan	0.11
cadangan	jajaran	0.22
cadangan	penari	0.23
cadangan	pemberi	0.24
cadangan	pelayan	0.16
cadangan	penyair	0.06
cadangan	pendatang	0.16
cadangan	pembunuh	0.2
cadangan	penyelenggara	0.21
cadangan	turunan	0.19
cadangan	pelukis	0.1
cadangan	utusan	0.17
cadangan	pembiayaan	0.36
cadangan	pengacara	0.18
cadangan	perawat	0.19
cadangan	penganut	0.18
cadangan	pengamat	0.22
cadangan	vokalis	0.2
cadangan	jurnalis	0.14
cadangan	penghubung	0.25
cadangan	pesaing	0.23
cadangan	pengawas	0.33
cadangan	penjahat	0.24
cadangan	pelaksana	0.26
cadangan	pembicara	0.13
cadangan	pendengar	0.16
cadangan	pendamping	0.29
cadangan	pewaris	0.27
cadangan	pengungsi	0.16
cadangan	pengendara	0.19
cadangan	pencuri	0.23
cadangan	terdakwa	0.18
cadangan	pebisnis	0.15
cadangan	pemburu	0.23
cadangan	pengawal	0.32
cadangan	penemu	0.2
cadangan	sastrawan	0.11
cadangan	pengemudi	0.25
cadangan	penerjemah	0.14
cadangan	pemandu	0.27
cadangan	tawanan	0.19
cadangan	penegak	0.27
cadangan	penutur	0.14
cadangan	penyihir	0.13
cadangan	pelamar	0.16
cadangan	pemasok	0.41
cadangan	pemikir	0.21
cadangan	saingan	0.25
cadangan	pembimbing	0.19
cadangan	petinggi	0.19
cadangan	pelaut	0.12
cadangan	pengrajin	0.16
cadangan	langganan	0.31
cadangan	pencinta	0.19
cadangan	kenalan	0.19
cadangan	penyidik	0.23
cadangan	pelacur	0.1
cadangan	pengirim	0.22
cadangan	perusak	0.26
cadangan	pendiam	0.09
cadangan	pemeluk	0.13
cadangan	penikmat	0.15
cadangan	pemangku	0.22
cadangan	perampok	0.18
cadangan	pengidap	0.11
cadangan	pesepak	0.27
cadangan	penunjuk	0.22
cadangan	pemuka	0.12
cadangan	pengemis	0.15
cadangan	pemusik	0.17
cadangan	sukarelawan	0.27
cadangan	penerbang	0.24
cadangan	pejalan	0.21
cadangan	petinju	0.17
cadangan	penyandang	0.22
cadangan	penanggung	0.2
cadangan	penolong	0.28
cadangan	jagoan	0.21
cadangan	penembak	0.21
cadangan	penipu	0.13
cadangan	novelis	0.09
cadangan	penyelamat	0.37
cadangan	pendaftar	0.21
cadangan	pelari	0.22
cadangan	pengiring	0.3
cadangan	penata	0.18
cadangan	pengambil	0.3
cadangan	penuntut	0.17
cadangan	pembina	0.24
cadangan	tanggungan	0.27
cadangan	petualang	0.16
cadangan	pencetus	0.2
cadangan	pemangsa	0.18
cadangan	penyebar	0.18
cadangan	pelancong	0.17
cadangan	petarung	0.15
cadangan	pemesan	0.16
cadangan	dermawan	0.12
cadangan	pemeriksa	0.27
cadangan	negarawan	0.18
cadangan	pengukur	0.27
cadangan	penambang	0.29
cadangan	biarawati	0.08
cadangan	pembajak	0.13
cadangan	budayawan	0.12
cadangan	perekam	0.28
cadangan	penyayang	0.16
cadangan	pemukul	0.26
cadangan	perencana	0.29
cadangan	pengumpul	0.27
cadangan	wirausahawan	0.16
cadangan	penangkap	0.27
cadangan	penyelam	0.21
cadangan	pemasar	0.19
cadangan	pemalas	0.16
cadangan	pengecut	0.2
cadangan	penarik	0.28
cadangan	pengembara	0.21
cadangan	gerilyawan	0.21
cadangan	penggagas	0.17
cadangan	penyembah	0.12
cadangan	penilai	0.24
cadangan	penguji	0.17
cadangan	pustakawan	0.14
cadangan	pengunjuk	0.1
cadangan	tamatan	0.16
cadangan	penyembuh	0.16
cadangan	musikus	0.14
cadangan	rohaniwan	0.07
cadangan	pemanah	0.21
cadangan	penyelidik	0.21
cadangan	penampil	0.2
cadangan	peranakan	0.12
cadangan	suruhan	0.15
cadangan	pemudik	0.17
cadangan	titisan	0.16
cadangan	usahawan	0.26
cadangan	pelapor	0.18
cadangan	pemahat	0.05
cadangan	penunggu	0.22
cadangan	penurut	0.11
cadangan	pengusul	0.18
cadangan	pemimpi	0.1
cadangan	penyusup	0.19
cadangan	pemungut	0.23
cadangan	penceramah	0.13
