noun_w_orang_noaffix	noun_w_orang_affixed	cossim
bangsa	penerima	0.23
bangsa	pergerakan	0.33
bangsa	pemegang	0.28
bangsa	penyedia	0.22
bangsa	penjaga	0.24
bangsa	pencari	0.23
bangsa	pembawa	0.25
bangsa	undangan	0.2
bangsa	cadangan	0.2
bangsa	pemeran	0.28
bangsa	bangsawan	0.38
bangsa	pembantu	0.24
bangsa	pengarang	0.3
bangsa	pengelola	0.25
bangsa	pejuang	0.48
bangsa	tahanan	0.23
bangsa	pengikut	0.24
bangsa	rombongan	0.27
bangsa	pengajar	0.26
bangsa	pendidik	0.39
bangsa	penghuni	0.37
bangsa	pengembang	0.32
bangsa	jajaran	0.29
bangsa	pembuka	0.2
bangsa	penari	0.21
bangsa	pemberi	0.19
bangsa	pelayan	0.28
bangsa	pendatang	0.41
bangsa	pembunuh	0.28
bangsa	penyelenggara	0.32
bangsa	turunan	0.3
bangsa	pelukis	0.25
bangsa	utusan	0.29
bangsa	pembiayaan	0.23
bangsa	pengacara	0.2
bangsa	perawat	0.21
bangsa	penganut	0.3
bangsa	pengamat	0.26
bangsa	penghubung	0.2
bangsa	pesaing	0.25
bangsa	pengawas	0.26
bangsa	penjahat	0.34
bangsa	pelaksana	0.22
bangsa	kebangsaan	0.53
bangsa	pembicara	0.21
bangsa	pengantar	0.27
bangsa	pendengar	0.2
bangsa	pendamping	0.18
bangsa	pewaris	0.33
bangsa	pengungsi	0.31
bangsa	pengendara	0.26
bangsa	pencuri	0.26
bangsa	pemburu	0.29
bangsa	pengawal	0.3
bangsa	penemu	0.3
bangsa	pengemudi	0.19
bangsa	penerjemah	0.21
bangsa	pemandu	0.2
bangsa	tawanan	0.35
bangsa	penegak	0.33
bangsa	penutur	0.3
bangsa	penyihir	0.27
bangsa	pelamar	0.24
bangsa	pemasok	0.19
bangsa	penanda	0.25
bangsa	pemikir	0.34
bangsa	saingan	0.27
bangsa	pembimbing	0.18
bangsa	petinggi	0.38
bangsa	pelaut	0.38
bangsa	pengrajin	0.28
bangsa	langganan	0.16
bangsa	pencinta	0.27
bangsa	kenalan	0.17
bangsa	penyidik	0.19
bangsa	pelacur	0.2
bangsa	pengirim	0.21
bangsa	perusak	0.33
bangsa	pendiam	0.17
bangsa	pemeluk	0.35
bangsa	penikmat	0.31
bangsa	pemangku	0.35
bangsa	perampok	0.29
bangsa	pelarian	0.22
bangsa	pengidap	0.28
bangsa	penunjuk	0.19
bangsa	pemuka	0.38
bangsa	pengemis	0.28
bangsa	pemusik	0.29
bangsa	sukarelawan	0.21
bangsa	penerbang	0.27
bangsa	pejalan	0.23
bangsa	petinju	0.27
bangsa	penyandang	0.31
bangsa	penanggung	0.21
bangsa	penolong	0.25
bangsa	jagoan	0.35
bangsa	penembak	0.18
bangsa	penipu	0.25
bangsa	penyelamat	0.32
bangsa	pendaftar	0.18
bangsa	pelari	0.22
bangsa	pengiring	0.15
bangsa	penata	0.11
bangsa	pengambil	0.26
bangsa	penuntut	0.24
bangsa	pembina	0.3
bangsa	tanggungan	0.24
bangsa	pencetus	0.27
bangsa	pemangsa	0.28
bangsa	penyebar	0.27
bangsa	pemesan	0.2
bangsa	dermawan	0.17
bangsa	pemeriksa	0.17
bangsa	negarawan	0.41
bangsa	pengukur	0.15
bangsa	penambang	0.2
bangsa	pembajak	0.29
bangsa	budayawan	0.32
bangsa	perekam	0.15
bangsa	penyayang	0.16
bangsa	pemukul	0.21
bangsa	perencana	0.26
bangsa	pengumpul	0.15
bangsa	wirausahawan	0.32
bangsa	penangkap	0.16
bangsa	penyelam	0.18
bangsa	pemasar	0.23
bangsa	pemalas	0.29
bangsa	penarik	0.23
bangsa	pengembara	0.37
bangsa	gerilyawan	0.26
bangsa	penggagas	0.24
bangsa	penyembah	0.34
bangsa	penilai	0.23
bangsa	penguji	0.15
bangsa	pengunjuk	0.12
bangsa	penyembuh	0.2
bangsa	rohaniwan	0.32
bangsa	pemanah	0.3
bangsa	penyelidik	0.18
bangsa	penampil	0.17
bangsa	peranakan	0.33
bangsa	suruhan	0.19
bangsa	usahawan	0.32
bangsa	pelapor	0.22
bangsa	pemahat	0.26
bangsa	penunggu	0.2
bangsa	penurut	0.2
bangsa	pengusul	0.26
bangsa	pemimpi	0.31
bangsa	penyusup	0.26
bangsa	pemungut	0.25
bangsa	penceramah	0.13
bangsa	penggarap	0.23
bangsa	pelupa	0.23
bangsa	perupa	0.23
bangsa	penyendiri	0.16
bangsa	pemateri	0.17
bangsa	penggali	0.25
bangsa	penukar	0.26
bangsa	penyabar	0.17
bangsa	pelempar	0.18
bangsa	pemborong	0.19
bangsa	pendemo	0.19
bangsa	pencerita	0.21
bangsa	penyelundup	0.24
bangsa	penganggur	0.26
bangsa	penggiling	0.2
bangsa	pengulas	0.16
bangsa	penagih	0.19
bangsa	hartawan	0.32
bangsa	perumus	0.26
bangsa	peniup	0.15
bangsa	penggalang	0.28
bangsa	pembenci	0.3
bangsa	pengkaji	0.28
bangsa	pembebas	0.35
bangsa	pemetik	0.15
bangsa	penjilat	0.27
bangsa	pencabut	0.2
bangsa	peramah	0.16
bangsa	pengukir	0.3
bangsa	pengejar	0.26
bangsa	pemerah	0.18
bangsa	wiraswastawan	0.26
bangsa	pemulia	0.3
bangsa	penendang	0.23
bangsa	penyimak	0.18
bangsa	pelestari	0.33
bangsa	penjemput	0.24
bangsa	pembaru	0.39
bangsa	penghayat	0.27
bangsa	pengadu	0.2
bangsa	pemasak	0.23
bangsa	pembobol	0.19
bangsa	penggemblengan	0.28
bangsa	penghasut	0.31
bangsa	penderma	0.21
bangsa	pemaksa	0.28
bangsa	peragu	0.18
bangsa	pengekor	0.37
bangsa	perayu	0.19
bangsa	pendebat	0.24
bangsa	penyuara	0.26
bangsa	pemimpinan	0.31
bangsa	penghadang	0.28
bangsa	pengasah	0.25
bangsa	pengutang	0.36
bangsa	pembisik	0.2
bangsa	pengetuk	0.22
bangsa	pemberang	0.37
bangsa	peneguh	0.31
bangsa	pewirausaha	0.37
bangsa	pencuriga	0.25
bangsa	pengalah	0.34
bangsa	pengalasan	0.28
bangsa	pengamuk	0.32
batu	pemain	0.24
batu	penduduk	0.24
batu	pengguna	0.14
batu	wisatawan	0.19
batu	penelitian	0.2
batu	pasangan	0.26
batu	penulis	0.16
batu	pemimpin	0.21
batu	peserta	0.17
batu	pengunjung	0.15
batu	penderita	0.27
batu	pembelajaran	0.19
batu	pelayanan	0.17
batu	kehilangan	0.23
batu	keturunan	0.23
batu	pemilik	0.21
batu	penyanyi	0.16
batu	karyawan	0.1
batu	pelanggan	0.12
batu	kelahiran	0.23
batu	perdagangan	0.29
batu	petani	0.24
batu	pekerja	0.24
batu	kepercayaan	0.26
batu	pemuda	0.3
batu	penumpang	0.18
batu	pimpinan	0.14
batu	pembaca	0.14
batu	kekurangan	0.2
batu	pejabat	0.17
batu	campuran	0.38
batu	pelaku	0.19
batu	peneliti	0.17
batu	pengusaha	0.24
batu	pendukung	0.25
batu	petunjuk	0.24
batu	pemenang	0.18
batu	petugas	0.17
batu	perbaikan	0.2
batu	pelatih	0.2
batu	pedagang	0.27
batu	pelajar	0.17
batu	pengurus	0.21
batu	jurusan	0.19
batu	ilmuwan	0.19
batu	pendiri	0.18
batu	angkatan	0.13
batu	sasaran	0.26
batu	pembuat	0.3
batu	penjual	0.33
batu	pengganti	0.28
batu	perwakilan	0.11
batu	lulusan	0.09
batu	pembeli	0.21
batu	penerima	0.16
batu	pergerakan	0.24
batu	pemegang	0.21
batu	penyedia	0.27
batu	penjaga	0.29
batu	pencari	0.24
batu	pembawa	0.25
batu	undangan	0.17
batu	cadangan	0.31
batu	pemeran	0.15
batu	bangsawan	0.19
batu	pembantu	0.17
batu	pengarang	0.16
batu	pengelola	0.22
batu	pejuang	0.17
batu	tahanan	0.23
batu	pengikut	0.17
batu	rombongan	0.19
batu	pengajar	0.11
batu	pendidik	0.14
batu	penghuni	0.26
batu	pengembang	0.21
batu	jajaran	0.21
batu	pembuka	0.22
batu	penari	0.18
batu	pemberi	0.16
batu	pelayan	0.18
batu	pendatang	0.18
batu	pembunuh	0.21
batu	penyelenggara	0.14
batu	turunan	0.27
batu	pelukis	0.13
batu	utusan	0.23
batu	pembiayaan	0.17
batu	pengacara	0.18
batu	perawat	0.16
batu	penganut	0.15
batu	pengamat	0.17
batu	penghubung	0.24
batu	pesaing	0.18
batu	pengawas	0.2
batu	penjahat	0.19
batu	pelaksana	0.18
batu	kebangsaan	0.21
batu	pembicara	0.11
batu	pengantar	0.17
batu	pendengar	0.15
batu	pendamping	0.22
batu	pewaris	0.19
batu	pengungsi	0.15
batu	pengendara	0.18
batu	pencuri	0.23
batu	pemburu	0.25
batu	pengawal	0.2
batu	penemu	0.22
batu	pengemudi	0.17
batu	penerjemah	0.12
batu	pemandu	0.24
batu	tawanan	0.2
batu	penegak	0.18
batu	penutur	0.13
batu	penyihir	0.28
batu	pelamar	0.1
batu	pemasok	0.25
batu	penanda	0.27
batu	pemikir	0.18
batu	saingan	0.21
batu	pembimbing	0.12
batu	petinggi	0.15
batu	pelaut	0.17
batu	pengrajin	0.34
batu	langganan	0.14
batu	pencinta	0.21
batu	kenalan	0.16
batu	penyidik	0.12
batu	pelacur	0.16
batu	pengirim	0.18
batu	perusak	0.23
batu	pendiam	0.14
batu	pemeluk	0.1
batu	penikmat	0.18
batu	pemangku	0.19
batu	perampok	0.16
batu	pelarian	0.2
batu	pengidap	0.16
batu	penunjuk	0.29
batu	pemuka	0.16
batu	pengemis	0.24
batu	pemusik	0.14
batu	sukarelawan	0.14
batu	penerbang	0.17
batu	pejalan	0.24
batu	petinju	0.2
batu	penyandang	0.2
batu	penanggung	0.12
batu	penolong	0.22
batu	jagoan	0.17
batu	penembak	0.2
batu	penipu	0.17
batu	penyelamat	0.2
batu	pendaftar	0.09
batu	pelari	0.16
batu	pengiring	0.15
batu	penata	0.18
batu	pengambil	0.25
batu	penuntut	0.12
batu	pembina	0.17
batu	tanggungan	0.16
batu	pencetus	0.18
batu	pemangsa	0.15
batu	penyebar	0.18
batu	pemesan	0.14
batu	dermawan	0.15
batu	pemeriksa	0.22
batu	negarawan	0.17
batu	pengukur	0.28
batu	penambang	0.39
batu	pembajak	0.13
batu	budayawan	0.11
batu	perekam	0.19
batu	penyayang	0.14
batu	pemukul	0.33
batu	perencana	0.18
batu	pengumpul	0.3
batu	wirausahawan	0.14
batu	penangkap	0.22
batu	penyelam	0.2
batu	pemasar	0.14
batu	pemalas	0.15
batu	penarik	0.24
batu	pengembara	0.27
batu	gerilyawan	0.1
batu	penggagas	0.09
batu	penyembah	0.3
batu	penilai	0.14
batu	penguji	0.21
batu	pengunjuk	0.13
batu	penyembuh	0.28
batu	rohaniwan	0.19
batu	pemanah	0.25
batu	penyelidik	0.16
batu	penampil	0.14
batu	peranakan	0.21
batu	suruhan	0.12
batu	usahawan	0.21
batu	pelapor	0.09
batu	pemahat	0.38
batu	penunggu	0.25
batu	penurut	0.17
batu	pengusul	0.13
batu	pemimpi	0.13
batu	penyusup	0.17
batu	pemungut	0.26
batu	penceramah	0.15
batu	penggarap	0.15
batu	pelupa	0.11
batu	perupa	0.1
batu	penyendiri	0.19
batu	pemateri	0.1
batu	penggali	0.39
batu	penukar	0.29
batu	penyabar	0.13
batu	pelempar	0.41
batu	pemborong	0.28
batu	pendemo	0.19
batu	pencerita	0.18
batu	penyelundup	0.16
batu	penganggur	0.16
batu	penggiling	0.43
batu	pengulas	0.13
batu	penagih	0.14
batu	hartawan	0.2
batu	perumus	0.2
batu	peniup	0.23
batu	penggalang	0.18
batu	pembenci	0.14
batu	pengkaji	0.15
batu	pembebas	0.07
batu	pemetik	0.22
batu	penjilat	0.19
batu	pencabut	0.31
batu	peramah	0.13
batu	pengukir	0.37
batu	pengejar	0.2
batu	pemerah	0.29
batu	wiraswastawan	0.1
batu	pemulia	0.14
batu	penendang	0.28
batu	penyimak	0.12
batu	pelestari	0.26
batu	penjemput	0.14
batu	pembaru	0.19
batu	penghayat	0.15
batu	pengadu	0.19
batu	pemasak	0.27
batu	pembobol	0.16
batu	penggemblengan	0.26
batu	penghasut	0.25
batu	penderma	0.25
batu	pemaksa	0.09
batu	peragu	0.23
batu	pengekor	0.16
batu	perayu	0.19
batu	pendebat	0.2
batu	penyuara	0.22
batu	pemimpinan	0.17
batu	penghadang	0.36
batu	pengasah	0.46
batu	pengutang	0.12
batu	pembisik	0.21
batu	pengetuk	0.31
batu	pemberang	0.26
batu	peneguh	0.31
batu	pewirausaha	0.17
batu	pencuriga	0.2
batu	pengalah	0.24
batu	pengalasan	0.31
batu	pengamuk	0.3
warga	pemain	0.39
warga	penduduk	0.66
warga	pengguna	0.45
warga	wisatawan	0.45
warga	penelitian	0.21
warga	pasangan	0.34
warga	penulis	0.31
warga	pemimpin	0.44
warga	peserta	0.48
warga	pengunjung	0.46
warga	penderita	0.4
warga	pembelajaran	0.21
warga	pelayanan	0.29
warga	kehilangan	0.29
warga	keturunan	0.42
warga	pemilik	0.48
warga	penyanyi	0.38
warga	karyawan	0.4
warga	pelanggan	0.39
warga	kelahiran	0.38
warga	perdagangan	0.25
warga	petani	0.54
warga	pekerja	0.48
warga	kepercayaan	0.33
warga	pemuda	0.52
warga	penumpang	0.41
warga	pimpinan	0.34
warga	pembaca	0.36
warga	kekurangan	0.19
warga	pejabat	0.54
warga	campuran	0.25
warga	pelaku	0.47
warga	peneliti	0.37
warga	pengusaha	0.49
warga	pendukung	0.4
warga	petunjuk	0.14
warga	pemenang	0.25
warga	petugas	0.48
warga	perbaikan	0.25
warga	pelatih	0.33
warga	pedagang	0.47
warga	pelajar	0.5
warga	pengurus	0.41
warga	jurusan	0.2
warga	ilmuwan	0.38
warga	pendiri	0.32
warga	angkatan	0.29
warga	sasaran	0.31
warga	pembuat	0.31
warga	penjual	0.33
warga	pengganti	0.22
warga	perwakilan	0.41
warga	lulusan	0.34
warga	pembeli	0.41
warga	penerima	0.36
warga	pergerakan	0.25
warga	pemegang	0.34
warga	penyedia	0.27
warga	penjaga	0.36
warga	pencari	0.25
warga	pembawa	0.26
warga	undangan	0.28
warga	cadangan	0.18
warga	pemeran	0.34
warga	bangsawan	0.38
warga	pembantu	0.31
warga	pengarang	0.31
warga	pengelola	0.38
warga	pejuang	0.43
warga	tahanan	0.36
warga	pengikut	0.33
warga	rombongan	0.41
warga	pengajar	0.33
warga	pendidik	0.35
warga	penghuni	0.5
warga	pengembang	0.38
warga	jajaran	0.3
warga	pembuka	0.16
warga	penari	0.3
warga	pemberi	0.25
warga	pelayan	0.37
warga	pendatang	0.48
warga	pembunuh	0.27
warga	penyelenggara	0.37
warga	turunan	0.18
warga	pelukis	0.3
warga	utusan	0.3
warga	pembiayaan	0.25
warga	pengacara	0.33
warga	perawat	0.34
warga	penganut	0.4
warga	pengamat	0.36
warga	penghubung	0.27
warga	pesaing	0.17
warga	pengawas	0.28
warga	penjahat	0.33
warga	pelaksana	0.29
warga	kebangsaan	0.39
warga	pembicara	0.24
warga	pengantar	0.27
warga	pendengar	0.31
warga	pendamping	0.26
warga	pewaris	0.24
warga	pengungsi	0.53
warga	pengendara	0.45
warga	pencuri	0.3
warga	pemburu	0.34
warga	pengawal	0.32
warga	penemu	0.3
warga	pengemudi	0.33
warga	penerjemah	0.21
warga	pemandu	0.29
warga	tawanan	0.35
warga	penegak	0.35
warga	penutur	0.36
warga	penyihir	0.21
warga	pelamar	0.27
warga	pemasok	0.29
warga	penanda	0.29
warga	pemikir	0.26
warga	saingan	0.18
warga	pembimbing	0.19
warga	petinggi	0.44
warga	pelaut	0.35
warga	pengrajin	0.41
warga	langganan	0.29
warga	pencinta	0.34
warga	kenalan	0.28
warga	penyidik	0.32
warga	pelacur	0.29
warga	pengirim	0.26
warga	perusak	0.28
warga	pendiam	0.18
warga	pemeluk	0.45
warga	penikmat	0.4
warga	pemangku	0.38
warga	perampok	0.33
warga	pelarian	0.33
warga	pengidap	0.29
warga	penunjuk	0.18
warga	pemuka	0.46
warga	pengemis	0.34
warga	pemusik	0.33
warga	sukarelawan	0.41
warga	penerbang	0.27
warga	pejalan	0.43
warga	petinju	0.26
warga	penyandang	0.37
warga	penanggung	0.29
warga	penolong	0.24
warga	jagoan	0.24
warga	penembak	0.25
warga	penipu	0.2
warga	penyelamat	0.33
warga	pendaftar	0.34
warga	pelari	0.32
warga	pengiring	0.17
warga	penata	0.2
warga	pengambil	0.29
warga	penuntut	0.24
warga	pembina	0.32
warga	tanggungan	0.3
warga	pencetus	0.2
warga	pemangsa	0.26
warga	penyebar	0.26
warga	pemesan	0.24
warga	dermawan	0.28
warga	pemeriksa	0.23
warga	negarawan	0.32
warga	pengukur	0.12
warga	penambang	0.41
warga	pembajak	0.24
warga	budayawan	0.36
warga	perekam	0.19
warga	penyayang	0.22
warga	pemukul	0.21
warga	perencana	0.29
warga	pengumpul	0.25
warga	wirausahawan	0.32
warga	penangkap	0.26
warga	penyelam	0.28
warga	pemasar	0.28
warga	pemalas	0.15
warga	penarik	0.26
warga	pengembara	0.3
warga	gerilyawan	0.34
warga	penggagas	0.27
warga	penyembah	0.23
warga	penilai	0.24
warga	penguji	0.15
warga	pengunjuk	0.39
warga	penyembuh	0.2
warga	rohaniwan	0.36
warga	pemanah	0.23
warga	penyelidik	0.23
warga	penampil	0.24
warga	peranakan	0.3
warga	suruhan	0.23
warga	usahawan	0.33
warga	pelapor	0.37
warga	pemahat	0.24
warga	penunggu	0.29
warga	penurut	0.17
warga	pengusul	0.27
warga	pemimpi	0.22
warga	penyusup	0.32
warga	pemungut	0.29
warga	penceramah	0.24
warga	penggarap	0.38
warga	pelupa	0.11
warga	perupa	0.32
warga	penyendiri	0.19
warga	pemateri	0.25
warga	penggali	0.28
warga	penukar	0.19
warga	penyabar	0.23
warga	pelempar	0.18
warga	pemborong	0.32
warga	pendemo	0.46
warga	pencerita	0.23
warga	penyelundup	0.29
warga	penganggur	0.32
warga	penggiling	0.17
warga	pengulas	0.21
warga	penagih	0.26
warga	hartawan	0.36
warga	perumus	0.17
warga	peniup	0.15
warga	penggalang	0.31
warga	pembenci	0.29
warga	pengkaji	0.24
warga	pembebas	0.28
warga	pemetik	0.24
warga	penjilat	0.2
warga	pencabut	0.15
warga	peramah	0.19
warga	pengukir	0.22
warga	pengejar	0.24
warga	pemerah	0.24
warga	wiraswastawan	0.35
warga	pemulia	0.34
warga	penendang	0.2
warga	penyimak	0.22
warga	pelestari	0.33
warga	penjemput	0.29
warga	pembaru	0.27
warga	penghayat	0.4
warga	pengadu	0.32
warga	pemasak	0.22
warga	pembobol	0.25
warga	penggemblengan	0.24
warga	penghasut	0.23
warga	penderma	0.3
warga	pemaksa	0.24
warga	peragu	0.14
warga	pengekor	0.2
warga	perayu	0.14
warga	pendebat	0.2
warga	penyuara	0.25
warga	pemimpinan	0.29
warga	penghadang	0.27
warga	pengasah	0.23
warga	pengutang	0.31
warga	pembisik	0.17
warga	pengetuk	0.25
warga	pemberang	0.32
warga	peneguh	0.25
warga	pewirausaha	0.31
warga	pencuriga	0.29
warga	pengalah	0.35
warga	pengalasan	0.34
warga	pengamuk	0.33
perangkat	pemain	0.36
perangkat	penduduk	0.25
perangkat	pengguna	0.46
perangkat	wisatawan	0.19
perangkat	penelitian	0.29
perangkat	pasangan	0.32
perangkat	penulis	0.29
perangkat	pemimpin	0.36
perangkat	peserta	0.33
perangkat	pengunjung	0.22
perangkat	penderita	0.25
perangkat	pembelajaran	0.42
perangkat	pelayanan	0.32
perangkat	kehilangan	0.32
perangkat	keturunan	0.21
perangkat	pemilik	0.35
perangkat	penyanyi	0.25
perangkat	karyawan	0.29
perangkat	pelanggan	0.3
perangkat	kelahiran	0.26
perangkat	perdagangan	0.36
perangkat	petani	0.27
perangkat	pekerja	0.35
perangkat	kepercayaan	0.25
perangkat	pemuda	0.27
perangkat	penumpang	0.24
perangkat	pimpinan	0.32
perangkat	pembaca	0.27
perangkat	kekurangan	0.32
perangkat	pejabat	0.34
perangkat	campuran	0.3
perangkat	pelaku	0.34
perangkat	peneliti	0.29
perangkat	pengusaha	0.3
perangkat	pendukung	0.45
perangkat	petunjuk	0.28
perangkat	pemenang	0.29
perangkat	petugas	0.34
perangkat	perbaikan	0.41
perangkat	pelatih	0.34
perangkat	pedagang	0.28
perangkat	pelajar	0.28
perangkat	pengurus	0.32
perangkat	jurusan	0.28
perangkat	ilmuwan	0.27
perangkat	pendiri	0.27
perangkat	angkatan	0.28
perangkat	sasaran	0.32
perangkat	pembuat	0.44
perangkat	penjual	0.33
perangkat	pengganti	0.37
perangkat	perwakilan	0.29
perangkat	lulusan	0.28
perangkat	pembeli	0.29
perangkat	penerima	0.38
perangkat	pergerakan	0.32
perangkat	pemegang	0.36
perangkat	penyedia	0.45
perangkat	penjaga	0.32
perangkat	pencari	0.31
perangkat	pembawa	0.28
perangkat	undangan	0.26
perangkat	cadangan	0.32
perangkat	pemeran	0.26
perangkat	bangsawan	0.23
perangkat	pembantu	0.34
perangkat	pengarang	0.27
perangkat	pengelola	0.39
perangkat	pejuang	0.3
perangkat	tahanan	0.27
perangkat	pengikut	0.21
perangkat	rombongan	0.26
perangkat	pengajar	0.33
perangkat	pendidik	0.33
perangkat	penghuni	0.24
perangkat	pengembang	0.48
perangkat	jajaran	0.42
perangkat	pembuka	0.3
perangkat	penari	0.22
perangkat	pemberi	0.3
perangkat	pelayan	0.27
perangkat	pendatang	0.24
perangkat	pembunuh	0.25
perangkat	penyelenggara	0.42
perangkat	turunan	0.28
perangkat	pelukis	0.13
perangkat	utusan	0.22
perangkat	pembiayaan	0.31
perangkat	pengacara	0.25
perangkat	perawat	0.23
perangkat	penganut	0.23
perangkat	pengamat	0.32
perangkat	penghubung	0.41
perangkat	pesaing	0.28
perangkat	pengawas	0.39
perangkat	penjahat	0.28
perangkat	pelaksana	0.39
perangkat	kebangsaan	0.23
perangkat	pembicara	0.29
perangkat	pengantar	0.31
perangkat	pendengar	0.27
perangkat	pendamping	0.37
perangkat	pewaris	0.22
perangkat	pengungsi	0.18
perangkat	pengendara	0.29
perangkat	pencuri	0.31
perangkat	pemburu	0.32
perangkat	pengawal	0.3
perangkat	penemu	0.35
perangkat	pengemudi	0.28
perangkat	penerjemah	0.32
perangkat	pemandu	0.27
perangkat	tawanan	0.22
perangkat	penegak	0.34
perangkat	penutur	0.18
perangkat	penyihir	0.25
perangkat	pelamar	0.21
perangkat	pemasok	0.4
perangkat	penanda	0.29
perangkat	pemikir	0.28
perangkat	saingan	0.26
perangkat	pembimbing	0.22
perangkat	petinggi	0.33
perangkat	pelaut	0.17
perangkat	pengrajin	0.25
perangkat	langganan	0.28
perangkat	pencinta	0.27
perangkat	kenalan	0.23
perangkat	penyidik	0.26
perangkat	pelacur	0.1
perangkat	pengirim	0.33
perangkat	perusak	0.39
perangkat	pendiam	0.22
perangkat	pemeluk	0.22
perangkat	penikmat	0.29
perangkat	pemangku	0.34
perangkat	perampok	0.23
perangkat	pelarian	0.19
perangkat	pengidap	0.13
perangkat	penunjuk	0.29
perangkat	pemuka	0.26
perangkat	pengemis	0.16
perangkat	pemusik	0.24
perangkat	sukarelawan	0.27
perangkat	penerbang	0.21
perangkat	pejalan	0.28
perangkat	petinju	0.17
perangkat	penyandang	0.26
perangkat	penanggung	0.26
perangkat	penolong	0.31
perangkat	jagoan	0.29
perangkat	penembak	0.29
perangkat	penipu	0.18
perangkat	penyelamat	0.28
perangkat	pendaftar	0.23
perangkat	pelari	0.25
perangkat	pengiring	0.3
perangkat	penata	0.32
perangkat	pengambil	0.37
perangkat	penuntut	0.26
perangkat	pembina	0.28
perangkat	tanggungan	0.25
perangkat	pencetus	0.24
perangkat	pemangsa	0.19
perangkat	penyebar	0.25
perangkat	pemesan	0.23
perangkat	dermawan	0.22
perangkat	pemeriksa	0.3
perangkat	negarawan	0.2
perangkat	pengukur	0.32
perangkat	penambang	0.25
perangkat	pembajak	0.28
perangkat	budayawan	0.17
perangkat	perekam	0.5
perangkat	penyayang	0.15
perangkat	pemukul	0.33
perangkat	perencana	0.36
perangkat	pengumpul	0.31
perangkat	wirausahawan	0.21
perangkat	penangkap	0.35
perangkat	penyelam	0.21
perangkat	pemasar	0.32
perangkat	pemalas	0.14
perangkat	penarik	0.25
perangkat	pengembara	0.21
perangkat	gerilyawan	0.17
perangkat	penggagas	0.29
perangkat	penyembah	0.16
perangkat	penilai	0.28
perangkat	penguji	0.29
perangkat	pengunjuk	0.12
perangkat	penyembuh	0.2
perangkat	rohaniwan	0.26
perangkat	pemanah	0.21
perangkat	penyelidik	0.24
perangkat	penampil	0.34
perangkat	peranakan	0.17
perangkat	suruhan	0.2
perangkat	usahawan	0.26
perangkat	pelapor	0.26
perangkat	pemahat	0.2
perangkat	penunggu	0.18
perangkat	penurut	0.22
perangkat	pengusul	0.25
perangkat	pemimpi	0.15
perangkat	penyusup	0.36
perangkat	pemungut	0.18
perangkat	penceramah	0.19
perangkat	penggarap	0.28
perangkat	pelupa	0.18
perangkat	perupa	0.15
perangkat	penyendiri	0.18
perangkat	pemateri	0.26
perangkat	penggali	0.26
perangkat	penukar	0.32
perangkat	penyabar	0.17
perangkat	pelempar	0.22
perangkat	pemborong	0.2
perangkat	pendemo	0.22
perangkat	pencerita	0.23
perangkat	penyelundup	0.19
perangkat	penganggur	0.16
perangkat	penggiling	0.34
perangkat	pengulas	0.24
perangkat	penagih	0.16
perangkat	hartawan	0.24
perangkat	perumus	0.27
perangkat	peniup	0.27
perangkat	penggalang	0.28
perangkat	pembenci	0.17
perangkat	pengkaji	0.24
perangkat	pembebas	0.24
perangkat	pemetik	0.26
perangkat	penjilat	0.14
perangkat	pencabut	0.28
perangkat	peramah	0.16
perangkat	pengukir	0.19
perangkat	pengejar	0.23
perangkat	pemerah	0.28
perangkat	wiraswastawan	0.24
perangkat	pemulia	0.24
perangkat	penendang	0.25
perangkat	penyimak	0.26
perangkat	pelestari	0.33
perangkat	penjemput	0.21
perangkat	pembaru	0.33
perangkat	penghayat	0.24
perangkat	pengadu	0.22
perangkat	pemasak	0.35
perangkat	pembobol	0.34
perangkat	penggemblengan	0.26
perangkat	penghasut	0.22
perangkat	penderma	0.22
perangkat	pemaksa	0.27
perangkat	peragu	0.16
perangkat	pengekor	0.23
perangkat	perayu	0.25
perangkat	pendebat	0.2
perangkat	penyuara	0.35
perangkat	pemimpinan	0.29
perangkat	penghadang	0.28
perangkat	pengasah	0.4
perangkat	pengutang	0.21
perangkat	pembisik	0.26
perangkat	pengetuk	0.32
perangkat	pemberang	0.28
perangkat	peneguh	0.31
perangkat	pewirausaha	0.27
perangkat	pencuriga	0.24
perangkat	pengalah	0.37
perangkat	pengalasan	0.41
perangkat	pengamuk	0.31
model	pemain	0.34
model	penduduk	0.12
model	pengguna	0.26
model	wisatawan	0.13
model	penelitian	0.38
model	pasangan	0.32
model	penulis	0.32
model	pemimpin	0.34
model	peserta	0.29
model	pengunjung	0.15
model	penderita	0.18
model	pembelajaran	0.53
model	pelayanan	0.29
model	kehilangan	0.18
model	keturunan	0.25
model	pemilik	0.29
model	penyanyi	0.37
model	karyawan	0.26
model	pelanggan	0.24
model	kelahiran	0.22
model	perdagangan	0.26
model	petani	0.2
model	pekerja	0.29
model	kepercayaan	0.24
model	pemuda	0.18
model	penumpang	0.21
model	pimpinan	0.26
model	pembaca	0.2
model	kekurangan	0.27
model	pejabat	0.21
model	campuran	0.34
model	pelaku	0.28
model	peneliti	0.31
model	pengusaha	0.34
model	pendukung	0.34
model	petunjuk	0.29
model	pemenang	0.29
model	petugas	0.22
model	perbaikan	0.36
model	pelatih	0.29
model	pedagang	0.25
model	pelajar	0.25
model	pengurus	0.18
model	jurusan	0.3
model	ilmuwan	0.28
